model,sample,pixel_accuracy,mean_tissue_dice,Background_dice,Background_iou,Background_precision,Background_recall,Background_f1,Background_specificity,Tissue_dice,Tissue_iou,Tissue_precision,Tissue_recall,Tissue_f1,Tissue_specificity,OS_dice,OS_iou,OS_precision,OS_recall,OS_f1,OS_specificity,Vaginal_dice,Vaginal_iou,Vaginal_precision,Vaginal_recall,Vaginal_f1,Vaginal_specificity
UNetPlusPlus_Pretrained,Day18_mm_results_D18E_S2A_1,0.8803631558772529,0.8908737834211755,0.8403002388111025,0.7245842992583237,0.7546866727631516,0.9478237654235478,0.8403002388111025,0.9761229718189581,0.8887827596121645,0.7998280869922093,0.8838945070277778,0.8937253804407086,0.8887827596121646,0.8999125767051318,0.9334876024659967,0.8752712154349191,0.9359192098813456,0.9310685974047214,0.9334876024659968,0.9881014081358243,0.8503509881853654,0.7396613918217962,0.883893415258989,0.8192612545036387,0.8503509881853654,0.9515195165589033
UNetPlusPlus_Pretrained,Day15_mm_results_D15F_S6B_2,0.9401633466019784,0.9175962091649207,0.9859093765821128,0.9722103269816335,0.9863915428012506,0.9854276815159922,0.9859093765821128,0.9932191920906167,0.9214756082452613,0.8543855060579927,0.9459471093266966,0.898238325796395,0.9214756082452613,0.9670901999652152,0.930884534022997,0.8707053294494391,0.9008279525098938,0.9630160530509146,0.930884534022997,0.987652890298248,0.9004284852265039,0.818890334215311,0.869218156713842,0.933963576284545,0.900428485226504,0.9707643054626318
UNetPlusPlus_Pretrained,Day15_mm_results_Day15F_S6B_3,0.9298518383025425,0.9074671068056107,0.9731006953945854,0.9476106284525129,0.9542664616459303,0.9926933557835036,0.9731006953945854,0.976817796125288,0.9103503166987632,0.8354522840228223,0.9454550709558079,0.8777591138635913,0.9103503166987632,0.9654220916043402,0.9104239763554972,0.8355763678703545,0.8706512396694215,0.9540044191690513,0.9104239763554971,0.984218113353054,0.9016270273625717,0.8208751032880685,0.8852641622846286,0.9186061726887311,0.9016270273625718,0.9762316094516272
UNetPlusPlus_Pretrained,Day13_mm_results_D13D_S9A_5,0.8459196738874807,0.7960674398114337,0.9371479917689958,0.8817295206778331,0.979852533940292,0.8980103466730095,0.9371479917689957,0.9918903870321407,0.83486218170333,0.7165351330916593,0.8136464073689534,0.8572139774428446,0.8348621817033299,0.8612525426710372,0.8009513863796095,0.667989085080736,0.8856427818756586,0.7310438305922602,0.8009513863796096,0.9894952170690018,0.7523887513513616,0.6030634559974659,0.7135433371653447,0.7957071782794956,0.7523887513513615,0.9295849758603889
UNetPlusPlus_Pretrained,Day12_mm_results_Day12D_9B_S2,0.8077549543601029,0.4480633403425233,0.8469276292335116,0.7344965075093496,0.8904790939895845,0.8074375521154334,0.8469276292335116,0.9889842015868588,0.890329898248304,0.8023374666424306,0.8692915251165403,0.9124118587643189,0.890329898248304,0.6382767390978097,0.45386012277926585,0.29354402500445353,0.575498670476644,0.3746692766252987,0.4538601227792659,0.9413240939546508,0.0,0.0,0.0,0.0,0.0,0.9655377192739536
UNetPlusPlus_Pretrained,Day0_mm_results_Day0G_8B_S2,0.9259140604114369,0.8815598589404612,0.9630628670354298,0.928757237463436,0.9950191042998822,0.9330953846295827,0.9630628670354298,0.9978639861953053,0.9279019489396878,0.8655010127310524,0.9109354831326162,0.9455124213205973,0.9279019489396879,0.9065043950583126,0.8650567539873515,0.7622026537683901,0.8889404896171963,0.8424228380092188,0.8650567539873515,0.9882069846292265,0.851720873894344,0.7417367907600326,0.8241649932379821,0.8811831514190193,0.8517208738943441,0.9830695407402555
UNetPlusPlus_Pretrained,Day15_mm_results_D15F_S6B_5,0.935707317498062,0.9132147124617399,0.9781743496404985,0.9572810677598028,0.9933786991612596,0.9634284100536572,0.9781743496404985,0.99647029445708,0.9142646408310353,0.8420695090291844,0.9214237913791321,0.9072158809314333,0.9142646408310354,0.9530118654548424,0.9202965584737696,0.8523604937045223,0.8771443357590549,0.9679143253971052,0.9202965584737696,0.9844406054157278,0.9050829380804148,0.8266223712813853,0.8894991371780396,0.9212225247448292,0.9050829380804148,0.977469678238788
UNetPlusPlus_Pretrained,Day6_mm_results_day6_4,0.8974262358871946,0.7355242117685622,0.9723036159024213,0.9461000651045418,0.9554707989858304,0.989740166592331,0.9723036159024213,0.9572687870349044,0.8720721534888345,0.7731630672886324,0.8480603940730845,0.8974832589285714,0.8720721534888345,0.8973898468854199,0.8142182408085332,0.6866510084989952,0.7193536521948682,0.9379041193299268,0.8142182408085332,0.9832316587979417,0.5202822410083189,0.35160910778204957,0.94701957196099,0.3586642324661494,0.520282241008319,0.9981184519313607
UNetPlusPlus_NoPretrained,Day0_mm_results_Day0H_2B_S7,0.7333347089285724,0.6247995009625339,0.9344796386663237,0.8770171576042588,0.8809758188926653,0.9949025052075341,0.9344796386663237,0.9412063440525353,0.6983942589765897,0.5365635975356601,0.566364014650257,0.9106945012073931,0.6983942589765898,0.7007872610377567,0.7743530798285841,0.6317913153327103,0.8614125678277612,0.7032758327486098,0.7743530798285841,0.9835910816725801,0.4016511640824279,0.25129130453669085,0.9705771514119044,0.2532202974364224,0.4016511640824279,0.9971784129655872
UNetPlusPlus_NoPretrained,Day15_mm_results_D15C_S6A_2,0.8955631334906989,0.7091192589912195,0.9314473517713566,0.8716906493240475,0.9859737720941598,0.8826357415656237,0.9314473517713566,0.989811146597733,0.9077610326171157,0.8311011232205013,0.8831185527021576,0.9338182329549449,0.9077610326171156,0.8927759530100082,0.779108778646025,0.6381475802422342,0.7339885859226379,0.8301396266164638,0.7791087786460251,0.9791624949745663,0.4404879657105176,0.2824524312896406,0.3652268999453253,0.5548172757475083,0.4404879657105176,0.9775798808657289
UNetPlusPlus_NoPretrained,Day14_mm_results_D14D_S8A_3,0.9240224899178622,0.5815031077023108,0.9513746307541371,0.9072588349052958,0.9957708647477086,0.9107682216746533,0.9513746307541372,0.9961967279192129,0.9142284928261024,0.8420081820029556,0.8687437423627261,0.9647392740891971,0.9142284928261025,0.8967897273258142,0.8302808302808303,0.7098121085594989,0.8526245756495334,0.8090782529866934,0.8302808302808303,0.9862231847263774,0.0,0.0,0.0,0.0,0.0,0.9989061352240427
UNetPlusPlus_NoPretrained,Day6_mm_results_Day6D_8B_S3,0.8809101951698145,0.4760870596471944,0.9668165510899146,0.9357646525501528,0.9978875268060046,0.937622046639835,0.9668165510899146,0.9978184155815735,0.8526967986325429,0.7432183555456167,0.8555401811385854,0.8498722534491568,0.852696798632543,0.9020875023902931,0.5755643803090402,0.40406486074387304,0.5233438980763799,0.6393613568228346,0.5755643803090402,0.9556172318370645,0.0,0.0,0.0,0.0,0.0,0.9813905494073085
UNetPlusPlus_NoPretrained,Day18_mm_results_D18E_S2A_1,0.696642708441271,0.7254358272100886,0.509881561375727,0.3421751910180151,0.3589399264968031,0.8798959296190046,0.509881561375727,0.8782114432109308,0.7559573368931639,0.6076619068716326,0.7059210058961426,0.813628041783823,0.7559573368931638,0.7110272488845559,0.8703673809339987,0.7704871178858421,0.8842350452490032,0.8569279796929292,0.8703673809339987,0.9790599314902851,0.5499827638031036,0.3792939491158035,0.8814448637899054,0.3996839797322402,0.5499827638031036,0.97578248724222
UNetPlusPlus_NoPretrained,Day15_mm_results_D15F_S6B_2,0.9100729920649437,0.8789303091159587,0.9750531372006349,0.9513206709443854,0.9780499527071067,0.972074630511787,0.9750531372006349,0.9891189410059921,0.8834331397598228,0.7912048720215408,0.8976279051929125,0.8696803272901579,0.8834331397598228,0.9364044858156451,0.9032098497733386,0.8235028821025447,0.8801529288247063,0.9275072889340412,0.9032098497733387,0.9852914123728801,0.8501479378147149,0.7393541880500828,0.8299650728652295,0.8713368708985387,0.8501479378147149,0.9628610837576649
